16:15:26.660 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. <no request,no span> 
16:15:26.772 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=1, active=1, idle=0, waiting=0) <no request,no span> 
16:15:26.796 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2d643356 <no request,no span> 
16:15:26.836 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6866b89e <no request,no span> 
16:15:26.865 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@55b6b7b1 <no request,no span> 
16:15:26.897 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@84947d1 <no request,no span> 
16:15:26.929 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@51e84e64 <no request,no span> 
16:15:26.965 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2ed93ba4 <no request,no span> 
16:15:27.115 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4eb21af1 <no request,no span> 
16:15:27.145 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@c07bb39 <no request,no span> 
16:15:27.183 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1f8f4fb3 <no request,no span> 
16:15:27.183 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - After adding stats (total=10, active=0, idle=10, waiting=0) <no request,no span> 
16:15:28.288 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning <no request,no span> 
16:15:29.716 [main] INFO  org.fasttrackittrainingjavawon3.springuniversityapp.SpringUniversityAppApplication - Started SpringUniversityAppApplication in 7.096 seconds (JVM running for 7.692) <no request,no span> 
16:15:56.774 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0) <no request,no span> 
16:15:56.775 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool is at sufficient level. <no request,no span> 
16:16:31.343 [main] INFO  org.fasttrackittrainingjavawon3.springuniversityapp.SpringUniversityAppApplication - Starting SpringUniversityAppApplication using Java 16.0.1 on DESKTOP-GH0R16B with PID 20908 (D:\spring-university-app\spring-university-app\build\classes\java\main started by Ale in D:\spring-university-app\spring-university-app) <no request,no span> 
16:16:31.343 [main] INFO  org.fasttrackittrainingjavawon3.springuniversityapp.SpringUniversityAppApplication - No active profile set, falling back to default profiles: default <no request,no span> 
16:16:33.950 [main] DEBUG com.zaxxer.hikari.HikariConfig - Driver class org.postgresql.Driver found in Thread context class loader jdk.internal.loader.ClassLoaders$AppClassLoader@73d16e93 <no request,no span> 
16:16:34.457 [main] DEBUG com.zaxxer.hikari.HikariConfig - HikariPool-1 - configuration: <no request,no span> 
16:16:34.462 [main] DEBUG com.zaxxer.hikari.HikariConfig - allowPoolSuspension................................false <no request,no span> 
16:16:34.462 [main] DEBUG com.zaxxer.hikari.HikariConfig - autoCommit................................true <no request,no span> 
16:16:34.462 [main] DEBUG com.zaxxer.hikari.HikariConfig - catalog................................none <no request,no span> 
16:16:34.462 [main] DEBUG com.zaxxer.hikari.HikariConfig - connectionInitSql................................none <no request,no span> 
